5
(0 ,1 , 7)
(0 ,2 , 6)
(0 ,3 , 5)
(0 ,4 , 1)
(1 ,2 , 4)
(1 ,3 , 2)
(1 ,4 , 10)
(2 ,3 , 9)
(2 ,4 , 8)
(3 ,4 , 3)

6
(0 ,1 , 7)
(0 ,2 , 8)
(0 ,3 , 5)
(1 ,3 , 4)
(2 ,5 , 9)
(2 ,4 , 10)
(3 ,4 , 3)
(4 ,5 , 1)
(4 ,1 , 12)
(3 ,5 , 14)

5
(0, 2, 1)
(0, 1, 2)
(1, 2, 6)
(1 ,3 , 3)
(2 ,3 , 5)
(2 ,4 , 7)
(3 ,4 , 4)
(1 ,4 , 8)
(0 ,3 , 9)
(0 ,4 , 10)




3
(0, 1, 3)
(0, 2, 4)
(1, 2, 6)

4
(0, 1, 3)
(0, 2, 4)
(1, 2, 6)
(2 ,3 , 9)
(3 ,1 , 8)

30
(25 ,23 , 194)
(3 ,6 , 133)
(12 ,23 , 359)
(6 ,12 , 43)
(6 ,8 , 252)
(23 ,5 , 845)
(26 ,6 , 412)
(23 ,10 , 262)
(16 ,5 , 417)
(13 ,5 , 733)
(16 ,29 , 272)
(12 ,19 , 713)
(2 ,8 , 537)
(5 ,11 , 488)
(29 ,18 , 594)
(23 ,2 , 336)
(13 ,15 , 300)
(25 ,26 , 254)
(6 ,9 , 512)
(2 ,1 , 124)
(11 ,1 , 593)
(14 ,1 , 54)
(22 ,11 , 128)
(28 ,2 , 742)
(24 ,9 , 490)
(23 ,22 , 94)
(1 ,8 , 300)
(10 ,19 , 564)
(8 ,14 , 153)
(2 ,7 , 844)
(7 ,15 , 716)
(14 ,7 , 233)
(10 ,12 , 396)
(1 ,13 , 711)
(9 ,14 , 310)
(23 ,24 , 114)
(19 ,4 , 775)
(8 ,13 , 487)
(25 ,28 , 167)
(28 ,22 , 132)
(12 ,21 , 147)
(21 ,7 , 276)
(20 ,8 , 102)
(26 ,27 , 883)
(6 ,27 , 579)
(8 ,27 , 193)
(18 ,5 , 826)
(9 ,29 , 99)
(15 ,28 , 870)
(13 ,25 , 298)
(14 ,25 , 666)
(25 ,10 , 761)
(22 ,13 , 475)
(5 ,7 , 184)
(20 ,1 , 189)
(29 ,20 , 259)
(2 ,18 , 635)
(23 ,8 , 346)
(17 ,18 , 379)
(26 ,23 , 200)
(12 ,3 , 333)
(18 ,21 , 116)
(0 ,25 , 584)
(11 ,3 , 461)
(5 ,28 , 239)
(20 ,25 , 656)
(22 ,3 , 509)
(9 ,12 , 620)
(4 ,3 , 423)
(19 ,27 , 440)
(0 ,3 , 9)
(26 ,12 , 682)
(22 ,0 , 766)
(7 ,9 , 882)
(13 ,19 , 470)
(8 ,18 , 252)
(16 ,13 , 296)
(6 ,21 , 413)
(21 ,11 , 168)
(27 ,22 , 173)
(4 ,29 , 847)
(4 ,0 , 315)
(2 ,16 , 171)
(17 ,23 , 328)
(12 ,0 , 720)
(21 ,24 , 543)
(29 ,6 , 426)
(17 ,4 , 833)
(5 ,1 , 540)
(28 ,6 , 584)
(10 ,29 , 806)
(25 ,21 , 625)
(27 ,9 , 288)
(24 ,16 , 790)
(17 ,5 , 527)
(11 ,27 , 450)
(11 ,19 , 887)
(28 ,0 , 24)
(22 ,12 , 562)
(3 ,5 , 712)
(2 ,11 , 801)
(8 ,5 , 366)
(3 ,15 , 161)
(21 ,27 , 792)
(7 ,17 , 710)
(9 ,25 , 126)
(7 ,18 , 445)
(29 ,12 , 364)
(19 ,18 , 443)
(17 ,25 , 749)
(0 ,13 , 134)
(28 ,20 , 247)
(22 ,19 , 752)
(29 ,28 , 525)
(1 ,7 , 95)
(26 ,10 , 691)
(4 ,6 , 875)
(0 ,14 , 876)
(16 ,8 , 243)
(1 ,18 , 555)
(10 ,11 , 13)
(23 ,20 , 209)
(9 ,21 , 388)
(17 ,27 , 502)
(0 ,18 , 344)
(5 ,27 , 869)
(7 ,11 , 643)
(7 ,13 , 370)
(14 ,12 , 369)
(1 ,12 , 42)
(28 ,14 , 100)
(11 ,13 , 800)
(6 ,17 , 726)
(10 ,28 , 442)
(29 ,15 , 372)
(5 ,22 , 628)
(27 ,15 , 62)


20
(0 ,17 , 176)
(7 ,0 , 331)
(10 ,0 , 36)
(9 ,0 , 18)
(12 ,10 , 222)
(16 ,12 , 256)
(16 ,8 , 326)
(6 ,0 , 354)
(17 ,16 , 188)
(18 ,10 , 370)
(3 ,18 , 282)
(5 ,9 , 104)
(4 ,16 , 236)
(6 ,15 , 103)
(14 ,8 , 368)
(0 ,8 , 322)
(7 ,2 , 193)
(6 ,17 , 319)
(13 ,2 , 178)
(8 ,9 , 22)
(4 ,15 , 349)
(8 ,17 , 293)
(9 ,10 , 18)
(15 ,9 , 366)
(10 ,16 , 205)
(18 ,4 , 213)
(7 ,13 , 340)
(2 ,16 , 261)
(1 ,5 , 44)
(8 ,13 , 37)
(1 ,15 , 59)
(3 ,12 , 213)
(12 ,0 , 271)
(7 ,10 , 145)
(19 ,5 , 249)
(1 ,17 , 143)
(1 ,9 , 294)
(9 ,14 , 306)
(15 ,0 , 74)
(5 ,10 , 332)
(0 ,19 , 330)
(11 ,15 , 280)
(13 ,5 , 383)
(13 ,4 , 62)
(9 ,6 , 117)
(3 ,6 , 288)
(8 ,5 , 364)
(12 ,18 , 136)
(4 ,5 , 63)
(13 ,6 , 314)
(19 ,11 , 8)
(18 ,16 , 337
